# Extended surfaceome: the SURFY list plus reviewed human proteins UniProt
# curates as located at the cell membrane (subcellular location SL-0039).
#
# Additive only: SURFY membership is preserved and identifiable in the
# `source` column, so a result can be reported against the original list,
# the extension, or both, and an earlier result stays reproducible.
#
# SURFY: Bausch-Fluck et al., PNAS 2018; no licence stated by the source (article CC BY-NC-ND 4.0).
# UniProt: CC BY 4.0.
# Generated by scripts/build_surfaceome_extension.py.
# 4801 accessions: 2886 from SURFY, 1915 added by UniProt.
#
accession	symbol	ensembl_genes	source
A0A075B6H7	IGKV3-7	ENSG00000243063;ENSG00000282310	uniprot
A0A075B6H8	IGKV1D-42	ENSG00000211633	uniprot
A0A075B6H9	IGLV4-69	ENSG00000211637	uniprot
A0A075B6I0	IGLV8-61	ENSG00000211638	uniprot
A0A075B6I1	IGLV4-60	ENSG00000211639	uniprot
A0A075B6I3	IGLV11-55	ENSG00000211641	uniprot
A0A075B6I4	IGLV10-54	ENSG00000211642	uniprot
A0A075B6I6	IGLV1-50	ENSG00000211645	uniprot
A0A075B6I7	IGLV5-48	ENSG00000211647	uniprot
A0A075B6I9	IGLV7-46	ENSG00000211649	uniprot
A0A075B6J1	IGLV5-37	ENSG00000211654;ENSG00000281471	uniprot
A0A075B6J2	IGLV2-33	ENSG00000211656;ENSG00000281345	uniprot
A0A075B6J6	IGLV3-22	ENSG00000211661	uniprot
A0A075B6J9	IGLV2-18	ENSG00000211664	uniprot
A0A075B6K0	IGLV3-16	ENSG00000211665	uniprot
A0A075B6K2	IGLV3-12	ENSG00000211667	uniprot
A0A075B6K4	IGLV3-10	ENSG00000211669	uniprot
A0A075B6K5	IGLV3-9	ENSG00000211670	uniprot
A0A075B6K6	IGLV4-3	ENSG00000211672	uniprot
A0A075B6L2	TRGV11	ENSG00000211693	uniprot
A0A075B6L6	TRBV7-3	ENSG00000211714	uniprot
A0A075B6N1	TRBV19	ENSG00000211746	uniprot
A0A075B6N2	TRBV20-1	ENSG00000211747	uniprot
A0A075B6N3	TRBV24-1	ENSG00000211750	uniprot
A0A075B6N4	TRBV25-1	ENSG00000282499	uniprot
A0A075B6P5	IGKV2-28	ENSG00000242534;ENSG00000244116;ENSG00000282025	uniprot
A0A075B6Q5	IGHV3-64	ENSG00000223648;ENSG00000274236	uniprot
A0A075B6R0	TRGV2	ENSG00000233306	uniprot
A0A075B6R2	IGHV4-4	ENSG00000276775;ENSG00000282223	uniprot
A0A075B6R9	IGKV2D-24	ENSG00000241566	uniprot
A0A075B6S0	TRGJ1	ENSG00000211690	uniprot
A0A075B6S2	IGKV2D-29	ENSG00000243264	uniprot
A0A075B6S4	IGKV1D-17	ENSG00000242766	uniprot
A0A075B6S5	IGKV1-27	ENSG00000244575;ENSG00000282666	uniprot
A0A075B6S6	IGKV2D-30	ENSG00000239571	uniprot
A0A075B6S9	IGKV1-37	ENSG00000239862;ENSG00000250036;ENSG00000282394	uniprot
A0A075B6T6	TRAV12-2	ENSG00000211789	uniprot
A0A075B6T7	TRAV6	ENSG00000211780	uniprot
A0A075B6T8	TRAV9-1	ENSG00000211783	uniprot
A0A075B6U4	TRAV7	ENSG00000211781	uniprot
A0A075B6V5	TRAV36DV7	ENSG00000211815	uniprot
A0A075B6W5	TRAV23DV6	ENSG00000211803	uniprot
A0A075B6X5	TRAV18	ENSG00000211798	uniprot
A0A075B6Y3	TRAJ3	ENSG00000211886	uniprot
A0A075B6Y9	TRAJ42	ENSG00000211847	uniprot
A0A075B700	TRAJ31	ENSG00000211858	uniprot
A0A075B706	TRDJ1	ENSG00000211825	uniprot
A0A087WSX0	IGLV5-45	ENSG00000211650	uniprot
A0A087WSY4	IGHV4-30-2	ENSG00000231475;ENSG00000282404	uniprot
A0A087WSY6	IGKV3D-15	ENSG00000224041	uniprot
A0A087WSZ0	IGKV1D-8	ENSG00000239819	uniprot
A0A087WSZ9	TRAV30	ENSG00000259092	uniprot
A0A087WT01	TRAV27	ENSG00000211809	uniprot
A0A087WT02	TRAV9-2	ENSG00000211793	uniprot
A0A087WT03	TRAV26-1	ENSG00000211807	uniprot
A0A087WV62	TRBV16	ENSG00000275243;ENSG00000282415	uniprot
A0A087WVF3	TBC1D3D	ENSG00000274419	uniprot
A0A087WW87	IGKV2-40	ENSG00000251039;ENSG00000273962	uniprot
A0A087WXS9	TBC1D3I	ENSG00000274933;ENSG00000275861;ENSG00000282144	uniprot
A0A087X0K7	TRBV17	ENSG00000277880;ENSG00000282483	uniprot
A0A087X0M5	TRBV18	ENSG00000276557	uniprot
A0A087X179	TBC1D3E	ENSG00000278599	uniprot
A0A087X1G2	TBC1D3K	ENSG00000273513	uniprot
A0A0A0MRZ7	IGKV2D-26	ENSG00000211623	uniprot
A0A0A0MRZ8	IGKV3D-11	ENSG00000211632	uniprot
A0A0A0MRZ9	IGLV5-52	ENSG00000211643	uniprot
A0A0A0MS00	IGLV3-32	ENSG00000211657;ENSG00000280866	uniprot
A0A0A0MS01	TRGV10	ENSG00000211694	uniprot
A0A0A0MS02	TRGV1	ENSG00000211701	uniprot
A0A0A0MS03	TRBV5-3	ENSG00000211715	uniprot
A0A0A0MS04	TRBV6-7	ENSG00000253188;ENSG00000282470	uniprot
A0A0A0MS05	TRBV5-7	ENSG00000211731;ENSG00000282748	uniprot
A0A0A0MS06	TRBV23-1	ENSG00000211749;ENSG00000282449	uniprot
A0A0A0MS14	IGHV1-45	ENSG00000211961;ENSG00000282776	uniprot
A0A0A0MS15	IGHV3-49	ENSG00000211965;ENSG00000275316	uniprot
A0A0A0MT36	IGKV6D-21	ENSG00000225523	uniprot
A0A0A0MT70	TRBJ2-6		uniprot
A0A0A0MT76	IGLJ1	ENSG00000211674	uniprot
A0A0A0MT78	TRBJ2-7	ENSG00000211771	uniprot
A0A0A0MT87	TRBJ2-4		uniprot
A0A0A0MT89	IGKJ1	ENSG00000211597	uniprot
A0A0A0MT94	TRBJ2-2		uniprot
A0A0A0MTA4	TRBJ2-5		uniprot
A0A0A0MTA7	TRBJ2-1	ENSG00000211764;ENSG00000282488	uniprot
A0A0A6YYC5	TRAV14DV4	ENSG00000211792	uniprot
A0A0A6YYD4	TRBV13	ENSG00000276405;ENSG00000282407	uniprot
A0A0A6YYG2	TRBV6-6	ENSG00000211724	uniprot
A0A0A6YYG3	TRBV6-8	ENSG00000253534	uniprot
A0A0A6YYJ7	TRAV8-3	ENSG00000211787	uniprot
A0A0A6YYK1	TRAV8-1	ENSG00000211782	uniprot
A0A0A6YYK4	TRBV7-1	ENSG00000211707;ENSG00000282225	uniprot
A0A0A6YYK6	TRAV16	ENSG00000211796	uniprot
A0A0A6YYK7	TRAV19	ENSG00000211799	uniprot
A0A0B4J1U3	IGLV1-36	ENSG00000211655;ENSG00000273737	uniprot
A0A0B4J1U4	TRGV5	ENSG00000211697	uniprot
A0A0B4J1U6	TRBV9	ENSG00000211716	uniprot
A0A0B4J1U7	IGHV6-1	ENSG00000211933;ENSG00000282745	uniprot
A0A0B4J1V0	IGHV3-15	ENSG00000211943;ENSG00000282290	uniprot
A0A0B4J1V1	IGHV3-21	ENSG00000211947;ENSG00000282281	uniprot
A0A0B4J1V2	IGHV2-26	ENSG00000211951;ENSG00000282344	uniprot
A0A0B4J1V6	IGHV3-73	ENSG00000211976;ENSG00000273539	uniprot
A0A0B4J1V7	IGHV7-81	ENSG00000211979	uniprot
