# Ensembl gene id -> UniProt accession, for the SURFY surfaceome.
# Generated by scripts/build_surfy_gene_map.py from the UniProt
# cross-references of reviewed human proteins. Versionless gene ids,
# matching how GDC STAR-Counts tables are keyed.
# 3375 pairs covering 2706 of 2886 accessions.
ENSG00000221955	A0AV02
ENSG00000158220	A0FGR9
ENSG00000154025	A0PJK1
ENSG00000249581	A0PK11
ENSG00000185101	A1A5B4
ENSG00000137266	A1A5C7
ENSG00000110900	A1L157
ENSG00000214128	A2RRL7
ENSG00000121210	A2VDJ0
ENSG00000162727	A3KFT3
ENSG00000221933	A4D2G3
ENSG00000151812	A4IF30
ENSG00000186038	A5X5Y0
ENSG00000157890	A6BM72
ENSG00000187492	A6H8M9
ENSG00000180061	A6NC51
ENSG00000197706	A6NCV1
ENSG00000183560	A6ND01
ENSG00000189181	A6ND48
ENSG00000204033	A6NDA9
ENSG00000233412	A6NDH6
ENSG00000205327	A6NDL8
ENSG00000185105	A6NDP7
ENSG00000137103	A6NDV4
ENSG00000206536	A6NET4
ENSG00000274209	A6NF34
ENSG00000188324	A6NF89
ENSG00000269113	A6NFA1
ENSG00000204278	A6NFC5
ENSG00000205639	A6NFX1
ENSG00000280021	A6NGY5
ENSG00000177462	A6NH00
ENSG00000184716	A6NH21
ENSG00000185926	A6NHA9
ENSG00000236032	A6NHG9
ENSG00000205693	A6NHS7
ENSG00000187116	A6NI73
ENSG00000274113	A6NI73
ENSG00000274914	A6NI73
ENSG00000275404	A6NI73
ENSG00000278355	A6NI73
ENSG00000184954	A6NIJ9
ENSG00000188991	A6NIM6
ENSG00000254126	A6NJW9
ENSG00000205328	A6NJZ3
ENSG00000135749	A6NKB5
ENSG00000231192	A6NKK0
ENSG00000187857	A6NL08
ENSG00000198283	A6NL26
ENSG00000187902	A6NL88
ENSG00000188124	A6NM03
ENSG00000238083	A6NM11
ENSG00000185758	A6NM45
ENSG00000185821	A6NM76
ENSG00000196098	A6NMS3
ENSG00000176681	A6NMS7
ENSG00000292249	A6NMZ5
ENSG00000171561	A6NND4
ENSG00000166558	A6NNN8
ENSG00000140323	A7MBM2
ENSG00000183185	A8MPY1
ENSG00000214978	A8MUP6
ENSG00000214212	A8MVS5
ENSG00000161682	A8MVW0
ENSG00000188175	A8MVW5
ENSG00000164659	A8MWY0
ENSG00000214376	A8MXK1
ENSG00000267368	B0FP48
ENSG00000284981	B0FP48
ENSG00000257115	B2RN74
ENSG00000232258	B3SHH9
ENSG00000237515	B4DS77
ENSG00000248385	B6A8C7
ENSG00000273875	B6A8C7
ENSG00000274889	B6A8C7
ENSG00000275123	B6A8C7
ENSG00000275384	B6A8C7
ENSG00000275806	B6A8C7
ENSG00000276145	B6A8C7
ENSG00000276355	B6A8C7
ENSG00000276604	B6A8C7
ENSG00000277178	B6A8C7
ENSG00000269526	B6SEH8
ENSG00000268964	B6SEH9
ENSG00000234965	B8ZZ34
ENSG00000256797	D3W0D1
ENSG00000261272	E2RYF6
ENSG00000228594	F2Z333
ENSG00000180044	F5H4A9
ENSG00000261115	H3BS89
ENSG00000261949	I3L273
ENSG00000188763	O00144
ENSG00000170128	O00155
ENSG00000136869	O00206
ENSG00000104689	O00220
ENSG00000179603	O00222
ENSG00000101307	O00241
ENSG00000164220	O00254
ENSG00000120436	O00270
ENSG00000105668	O00322
ENSG00000156222	O00337
ENSG00000162383	O00341
ENSG00000116260	O00391
ENSG00000078589	O00398
ENSG00000169359	O00400
ENSG00000121797	O00421
ENSG00000168546	O00451
ENSG00000111801	O00478
ENSG00000026950	O00481
ENSG00000110375	O00526
ENSG00000134121	O00533
ENSG00000198719	O00548
ENSG00000275555	O00548
ENSG00000172215	O00574
ENSG00000144648	O00590
ENSG00000094755	O00591
ENSG00000128567	O00592
ENSG00000189143	O14493
ENSG00000067113	O14494
ENSG00000162407	O14495
ENSG00000158458	O14511
ENSG00000181790	O14514
ENSG00000196090	O14522
ENSG00000166881	O14524
ENSG00000152092	O14525
ENSG00000185385	O14581
ENSG00000174946	O14626
ENSG00000137845	O14672
ENSG00000180245	O14718
ENSG00000187730	O14764
ENSG00000099250	O14786
ENSG00000120659	O14788
ENSG00000173535	O14798
ENSG00000135569	O14804
ENSG00000214063	O14817
ENSG00000240505	O14836
ENSG00000126266	O14842
ENSG00000185897	O14843
ENSG00000142484	O14894
ENSG00000118946	O14917
ENSG00000204475	O14931
ENSG00000206430	O14931
ENSG00000223833	O14931
ENSG00000225211	O14931
ENSG00000236315	O14931
ENSG00000236979	O14931
ENSG00000237103	O14931
ENSG00000237808	O14931
ENSG00000124882	O14944
ENSG00000196576	O15031
ENSG00000141458	O15118
ENSG00000030304	O15146
ENSG00000168675	O15165
ENSG00000166856	O15218
ENSG00000112499	O15244
ENSG00000175003	O15245
ENSG00000113262	O15303
ENSG00000100926	O15321
ENSG00000285465	O15321
ENSG00000170775	O15354
ENSG00000168679	O15374
ENSG00000170190	O15375
ENSG00000268500	O15389
ENSG00000154654	O15394
ENSG00000105464	O15399
ENSG00000108932	O15403
ENSG00000136868	O15431
ENSG00000108846	O15438
ENSG00000125257	O15439
ENSG00000114770	O15440
ENSG00000164342	O15455
ENSG00000126251	O15529
ENSG00000099957	O15547
ENSG00000165215	O15551
ENSG00000126262	O15552
ENSG00000185070	O43155
ENSG00000164050	O43157
ENSG00000148848	O43184
